run,epoch,agent,time,s1,s2,c,action,reward,overall_step,theta,std,Regret,name,num_agents,base
1,1,1,1,1,17,1601,17,0.2605792247360119,1,0.26194783824494616,65303.4183902794,0.0013686135089342466,Thompson Sampling,100,100
1,1,2,1,1,17,1601,17,0.26330039212028367,1,0.26194783824494616,65303.4183902794,-0.0013525538753375033,Thompson Sampling,100,100
1,1,1,1,17,46,4517,46,2.967393398560167,2,2.958589678177781,65303.4183902794,-0.008803720382386082,Thompson Sampling,100,100
1,1,2,1,17,20,1917,20,3.5048993033448332,2,3.502686942035572,65303.4183902794,-0.0022123613092612793,Thompson Sampling,100,100
1,1,3,1,1,6,501,6,1.1939474848376164,2,1.1941254804436818,65303.4183902794,0.00017799560606546194,Thompson Sampling,100,100
1,1,1,1,46,53,5246,53,10.367735101890124,3,10.21544227922697,65303.4183902794,-0.15229282266315458,Thompson Sampling,100,100
1,1,2,1,20,88,8720,88,239.13112813645157,3,243.2215338704705,65303.4183902794,4.09040573401893,Thompson Sampling,100,100
1,1,3,1,6,97,9606,97,0.027807573999924458,3,0.02745608780016538,65303.4183902794,-0.0003514861997590789,Thompson Sampling,100,100
1,1,4,1,1,17,1601,17,0.25764765230669473,3,0.26194783824494616,65303.4183902794,0.004300185938251433,Thompson Sampling,100,100
1,1,1,1,53,61,6053,61,0.0003726288130331486,4,0.0003730799942860958,65303.4183902794,4.5118125294722105e-7,Thompson Sampling,100,100
1,1,2,1,88,97,9688,97,2416.694703576119,4,2435.95306666372,65303.4183902794,19.258363087601083,Thompson Sampling,100,100
1,1,3,1,97,2,197,2,151.48591434782443,4,152.20238854206497,65303.4183902794,0.7164741942405328,Thompson Sampling,100,100
1,1,4,1,17,84,8317,84,0.091816140564366,4,0.09117869815806562,65303.4183902794,-0.0006374424063003842,Thompson Sampling,100,100
1,1,5,1,1,40,3901,40,264.20868986295994,4,261.75037816487816,65303.4183902794,-2.4583116980817863,Thompson Sampling,100,100
1,1,1,1,61,91,9061,91,87.77237355039246,5,88.57253785792142,65303.4183902794,0.8001643075289593,Thompson Sampling,100,100
1,1,2,1,97,68,6797,68,0.04370178694365329,5,0.043844173599220555,65303.4183902794,0.00014238665556726843,Thompson Sampling,100,100
1,1,3,1,2,100,9902,100,157.83535719569463,5,155.6975137119889,65303.4183902794,-2.1378434837057227,Thompson Sampling,100,100
1,1,4,1,84,49,4884,49,285.28014022357104,5,279.51538578802956,65303.4183902794,-5.764754435541477,Thompson Sampling,100,100
1,1,5,1,40,65,6440,65,0.0007504619561396916,5,0.0007466694407571933,65303.4183902794,-3.7925153824983635e-6,Thompson Sampling,100,100
1,1,6,1,1,42,4101,42,0.13195749090702033,5,0.13167217583271545,65303.4183902794,-0.000285315074304876,Thompson Sampling,100,100
1,1,7,1,1,4,301,4,3.5412700260663357,5,3.586837454345676,65303.4183902794,0.04556742827934013,Thompson Sampling,100,100
1,1,1,1,91,52,5191,52,3.3597291307509165,6,3.401189490581121,65303.4183902794,0.041460359830204574,Thompson Sampling,100,100
1,1,2,1,68,67,6668,67,9.282931195316383,6,9.347423867880117,65303.4183902794,0.06449267256373403,Thompson Sampling,100,100
1,1,3,1,100,63,6300,63,0.09265186493512712,6,0.09153875492433951,65303.4183902794,-0.0011131100107876074,Thompson Sampling,100,100
1,1,4,1,49,4,349,4,0.0005535854445178806,6,0.0005528577058521818,65303.4183902794,-7.277386656987656e-7,Thompson Sampling,100,100
1,1,5,1,65,10,965,10,11.35181808306556,6,11.3184034535763,65303.4183902794,-0.03341462948925944,Thompson Sampling,100,100
1,1,6,1,42,54,5342,54,74.07324620947769,6,73.81784428277459,65303.4183902794,-0.2554019267031009,Thompson Sampling,100,100
1,1,7,1,4,64,6304,64,0.5053899272496409,6,0.5109775867673547,65303.4183902794,0.005587659517713783,Thompson Sampling,100,100
1,1,8,1,1,42,4101,42,0.13145303473435277,6,0.13167217583271545,65303.4183902794,0.00021914109836268514,Thompson Sampling,100,100
1,1,9,1,1,40,3901,40,260.8798228755531,6,261.75037816487816,65303.4183902794,0.8705552893250683,Thompson Sampling,100,100
1,1,1,1,52,66,6552,66,0.5044550364999222,7,0.5020002702166629,65303.4183902794,-0.0024547662832592465,Thompson Sampling,100,100
1,1,2,1,67,64,6367,64,20.677975169781178,7,20.717742868860313,65303.4183902794,0.039767699079135355,Thompson Sampling,100,100
1,1,3,1,63,5,463,5,0.35359072776945577,7,0.356491107431099,65303.4183902794,0.0029003796616432487,Thompson Sampling,100,100
1,1,4,1,4,41,4004,41,2.1723098361812196,7,2.177762605193301,65303.4183902794,0.005452769012081138,Thompson Sampling,100,100
1,1,5,1,10,89,8810,89,0.038948600824123644,7,0.03912097446860991,65303.4183902794,0.0001723736444862664,Thompson Sampling,100,100
1,1,6,1,54,4,354,4,8.68014519887859,7,8.765915693589669,65303.4183902794,0.08577049471107934,Thompson Sampling,100,100
1,1,7,1,64,80,7964,80,0.3870267526505482,7,0.38999537682112917,65303.4183902794,0.002968624170580969,Thompson Sampling,100,100
1,1,8,1,42,54,5342,54,73.31749326549964,7,73.81784428277459,65303.4183902794,0.5003510172749515,Thompson Sampling,100,100
1,1,9,1,40,30,2940,30,0.6382038530983595,7,0.6443910928766586,65303.4183902794,0.006187239778299158,Thompson Sampling,100,100
1,1,10,1,1,6,501,6,1.2064711992336055,7,1.1941254804436818,65303.4183902794,-0.012345718789923632,Thompson Sampling,100,100
1,1,1,1,66,22,2166,22,18.91050795164225,8,19.174053143588786,65303.4183902794,0.26354519194653747,Thompson Sampling,100,100
